filename,size,num_lines
20260901_040000.csv,4456704,4468
20260901_050000.csv,3685321,3772
20260901_060000.csv,3951264,3986
20260901_070000.csv,2927882,3187
20260901_080000.csv,3285106,3520
20260901_090000.csv,3143693,3323
20260901_100000.csv,3633877,3661
20260901_110000.csv,3903790,4057
20260901_120000.csv,4479132,4609
20260901_130000.csv,6374785,6201
20260901_140000.csv,6057136,6029
20260901_150000.csv,5296055,5468
20260901_160000.csv,5591520,5853
20260901_170000.csv,5579610,5729
20260901_180000.csv,5743076,5891
20260901_190000.csv,5262979,5558
20260901_200000.csv,6777181,6843
20260901_210000.csv,6798687,6909
20260901_220000.csv,5736624,5782
20260901_230000.csv,4909423,4970
20260902_000000.csv,4307935,4628
20260902_010000.csv,5277103,5276
20260902_020000.csv,6555757,6175
20260902_030000.csv,4247528,3914
